Section,ID,Prime,Target,Target_Word,CorrectA,Code,Dur,Question,SentenceID,SpeakerGender,SpeakerID,SentenceGroup,PitchLevel,ContentCongruency,PitchTypicality
1,138,F06_D062_plusHalfERB.wav,F06_D062_tar_plusHalfERB.wav,养子,TRUE,111,2546.712,说话人的对象是被领养的吗,D062,F,F06,D,plusHalfERB,congruent,typical
1,107,F05_D027_plusHalfERB.wav,F05_D027_tar_plusHalfERB.wav,男生,FALSE,111,2216.939,说话人的爱人很不招人喜欢吗,D027,F,F05,D,plusHalfERB,congruent,typical
1,84,F02_D004_minusHalfERB.wav,F02_D004_tar_minusHalfERB.wav,先生,FALSE,112,2763.061,说话人向其学生介绍了自己的对象吗,D004,F,F02,D,minusHalfERB,congruent,atypical
1,145,F03_D070_minusHalfERB.wav,F03_D070_tar_minusHalfERB.wav,师弟,FALSE,112,2381.02,说话人和其对象不是同一个专业的吗,D070,F,F03,D,minusHalfERB,congruent,atypical
1,124,F06_D045_plusHalfERB.wav,F06_D045_tar_plusHalfERB.wav,空少,FALSE,111,2237.438,说话人的前任现在是个空少吗,D045,F,F06,D,plusHalfERB,congruent,typical
1,98,F03_D018_minusHalfERB.wav,F03_D018_tar_minusHalfERB.wav,班草,FALSE,112,2661.179,说话人的对象高中时长相普通吗,D018,F,F03,D,minusHalfERB,congruent,atypical
1,132,F06_D055_plusHalfERB.wav,F06_D055_tar_plusHalfERB.wav,大叔,FALSE,111,2360.726,说话人的对象还没有成年吗,D055,F,F06,D,plusHalfERB,congruent,typical
1,139,F05_D063_plusHalfERB.wav,F05_D063_tar_plusHalfERB.wav,才子,TRUE,111,1635.828,说话人的对象是个有才华的人吗,D063,F,F05,D,plusHalfERB,congruent,typical
1,116,F02_D036_minusHalfERB.wav,F02_D036_tar_minusHalfERB.wav,皇子,TRUE,112,2764.943,说话人的爱人出演了一部剧吗,D036,F,F02,D,minusHalfERB,congruent,atypical
1,155,F05_D080_plusHalfERB.wav,F05_D080_tar_plusHalfERB.wav,舅舅,TRUE,111,2441.338,说话人的对象有小外甥了吗,D080,F,F05,D,plusHalfERB,congruent,typical
1,10,F02_E011_minusHalfERB.wav,F02_E011_tar_minusHalfERB.wav,流产,TRUE,222,2093.537,说话人去年差点失去自己的孩子吗,E011,F,F02,E,minusHalfERB,incongruent,atypical
1,12,F06_E013_plusHalfERB.wav,F06_E013_tar_plusHalfERB.wav,妈妈,FALSE,221,2585.737,说话人已经结婚生子了吗,E013,F,F06,E,plusHalfERB,incongruent,typical
1,3,F05_E004_plusHalfERB.wav,F05_E004_tar_plusHalfERB.wav,媳妇,TRUE,221,2191.224,说话人下周要去外地吗,E004,F,F05,E,plusHalfERB,incongruent,typical
1,51,F05_E054_plusHalfERB.wav,F05_E054_tar_plusHalfERB.wav,闺秀,FALSE,221,2117.007,说话人的前任是个没教养的人吗,E054,F,F05,E,plusHalfERB,incongruent,typical
1,43,F05_E045_plusHalfERB.wav,F05_E045_tar_plusHalfERB.wav,贵妇,TRUE,221,2299.184,说话人在谈论自己爱人的愿望吗,E045,F,F05,E,plusHalfERB,incongruent,typical
1,73,F03_E078_minusHalfERB.wav,F03_E078_tar_minusHalfERB.wav,师姐,TRUE,222,2317.324,说话人爱上了比自己年长的人吗,E078,F,F03,E,minusHalfERB,incongruent,atypical
1,50,F02_E053_minusHalfERB.wav,F02_E053_tar_minusHalfERB.wav,仙女,TRUE,222,2624.15,说话人的朋友夸奖过其恋人吗,E053,F,F02,E,minusHalfERB,incongruent,atypical
1,76,F06_E081_plusHalfERB.wav,F06_E081_tar_plusHalfERB.wav,女兵,TRUE,221,2647.937,说话人的爱人当过兵吗,E081,F,F06,E,plusHalfERB,incongruent,typical
1,44,F06_E047_plusHalfERB.wav,F06_E047_tar_plusHalfERB.wav,小姐,TRUE,221,2596.349,说话人的恋人家里有仆人吗,E047,F,F06,E,plusHalfERB,incongruent,typical
1,66,F02_E071_minusHalfERB.wav,F02_E071_tar_minusHalfERB.wav,养女,TRUE,222,2956.803,说话人的爱人是被收养的吗,E071,F,F02,E,minusHalfERB,incongruent,atypical
1,191,F03_F110_minusHalfERB.wav,F03_F110_tar_minusHalfERB.wav,经理,FALSE,101,2769.887,说话人的朋友明年要被辞退了吗,F110,F,F03,F,minusHalfERB,filler,filler
1,198,F05_F128_plusHalfERB.wav,F05_F128_tar_plusHalfERB.wav,同事,TRUE,101,2038.073,说话人提到了自己的恋人吗,F128,F,F05,F,plusHalfERB,filler,filler
1,202,F06_G009_plusHalfERB.wav,F06_G009_tar_plusHalfERB.wav,台灯,FALSE,102,2981.315,说话人在睡觉吗,G009,F,F06,G,plusHalfERB,filler,filler
1,201,F05_G008_plusHalfERB.wav,F05_G008_tar_plusHalfERB.wav,题目,TRUE,102,2727.075,说话人提及了自己的愿望吗,G008,F,F05,G,plusHalfERB,filler,filler
1,205,F06_G019_plusHalfERB.wav,F06_G019_tar_plusHalfERB.wav,太阳,FALSE,102,2298.753,说话人昨晚在自己家吗,G019,F,F06,G,plusHalfERB,filler,filler
2,147,F05_D072_plusHalfERB.wav,F05_D072_tar_plusHalfERB.wav,伴郎,TRUE,111,2369.365,说话人提到了其朋友的婚礼吗,D072,F,F05,D,plusHalfERB,congruent,typical
2,137,F03_D061_minusHalfERB.wav,F03_D061_tar_minusHalfERB.wav,壮丁,TRUE,112,2316.916,说话人的对象被招募了吗,D061,F,F03,D,minusHalfERB,congruent,atypical
2,148,F06_D073_plusHalfERB.wav,F06_D073_tar_plusHalfERB.wav,兄长,FALSE,111,2620.952,说话人的恋人在家里很粗心吗,D073,F,F06,D,plusHalfERB,congruent,typical
2,154,F02_D079_minusHalfERB.wav,F02_D079_tar_minusHalfERB.wav,奶爸,TRUE,112,3268.662,说话人的爱人在努力学习照顾孩子吗,D079,F,F02,D,minusHalfERB,congruent,atypical
2,106,F02_D026_minusHalfERB.wav,F02_D026_tar_minusHalfERB.wav,和尚,TRUE,112,3133.469,说话人的对象曾打算出家吗,D026,F,F02,D,minusHalfERB,congruent,atypical
2,123,F05_D044_plusHalfERB.wav,F05_D044_tar_plusHalfERB.wav,喉结,TRUE,111,2151.134,说话人觉得其对象有特别吸引自己的地方吗,D044,F,F05,D,plusHalfERB,congruent,typical
2,146,F02_D071_minusHalfERB.wav,F02_D071_tar_minusHalfERB.wav,师兄,FALSE,112,2269.456,说话人和其爱人大学时不认识吗,D071,F,F02,D,minusHalfERB,congruent,atypical
2,105,F03_D025_minusHalfERB.wav,F03_D025_tar_minusHalfERB.wav,影帝,FALSE,112,3550.635,说话人的恋人没有梦想吗,D025,F,F03,D,minusHalfERB,congruent,atypical
2,153,F03_D078_minusHalfERB.wav,F03_D078_tar_minusHalfERB.wav,侄子,TRUE,112,3050,说话人提到了其爱人的亲戚吗,D078,F,F03,D,minusHalfERB,congruent,atypical
2,90,F02_D010_minusHalfERB.wav,F02_D010_tar_minusHalfERB.wav,儿子,TRUE,112,2715.011,说话人的前任是个孝顺的人吗,D010,F,F02,D,minusHalfERB,congruent,atypical
2,42,F02_E044_minusHalfERB.wav,F02_E044_tar_minusHalfERB.wav,公主,TRUE,222,3006.395,说话人的对象在幻想自己古代的身份吗,E044,F,F02,E,minusHalfERB,incongruent,atypical
2,68,F06_E073_plusHalfERB.wav,F06_E073_tar_plusHalfERB.wav,独女,FALSE,221,1846.259,说话人的对象有兄弟姐妹吗,E073,F,F06,E,plusHalfERB,incongruent,typical
2,57,F02_E061_minusHalfERB.wav,F02_E061_tar_minusHalfERB.wav,少女,TRUE,222,3087.483,说话人的爱人以前很外向吗,E061,F,F02,E,minusHalfERB,incongruent,atypical
2,74,F06_E079_plusHalfERB.wav,F06_E079_tar_plusHalfERB.wav,伴娘,TRUE,221,2117.528,说话人喜欢上了朋友婚礼上的人吗,E079,F,F06,E,plusHalfERB,incongruent,typical
2,35,F05_E037_plusHalfERB.wav,F05_E037_tar_plusHalfERB.wav,女士,FALSE,221,2643.129,说话人提及了自己的朋友吗,E037,F,F05,E,plusHalfERB,incongruent,typical
