Section,ID,Prime,Target,Target_Word,CorrrectA,Code,Dur,Question,SentenceID,SpeakerGender,SpeakerID,SentenceGroup,PitchLevel,ContentCongruency,PitchTypicality
1,93,F03_D013_plusHalfERB.wav,F03_D013_tar_plusHalfERB.wav,弟弟,FALSE,111,2576.576,说话人比自己的对象年纪小吗,D013,F,F03,D,plusHalfERB,congruent,typical
1,119,F05_D040_minusHalfERB.wav,F05_D040_tar_minusHalfERB.wav,君子,FALSE,112,2381.587,说话人的朋友对其恋人评价很差吗,D040,F,F05,D,minusHalfERB,congruent,atypical
1,94,F02_D014_plusHalfERB.wav,F02_D014_tar_plusHalfERB.wav,煮夫,TRUE,111,2899.683,说话人的爱人每天在家干活吗,D014,F,F02,D,plusHalfERB,congruent,typical
1,102,F02_D022_plusHalfERB.wav,F02_D022_tar_plusHalfERB.wav,糙汉,TRUE,111,2924.853,说话人总是吐槽自己的对象吗,D022,F,F02,D,plusHalfERB,congruent,typical
1,141,F03_D065_plusHalfERB.wav,F03_D065_tar_plusHalfERB.wav,独子,TRUE,111,2295.238,说话人的伴侣在家中有兄弟吗,D065,F,F03,D,plusHalfERB,congruent,typical
1,120,F06_D041_minusHalfERB.wav,F06_D041_tar_minusHalfERB.wav,男德,TRUE,112,2919.229,说话人对其伴侣提出了道德要求吗,D041,F,F06,D,minusHalfERB,congruent,atypical
1,95,F05_D015_minusHalfERB.wav,F05_D015_tar_minusHalfERB.wav,学长,TRUE,112,1870.204,说话人和自己的对象之前是一个学校的吗,D015,F,F05,D,minusHalfERB,congruent,atypical
1,111,F05_D031_minusHalfERB.wav,F05_D031_tar_minusHalfERB.wav,男子,FALSE,112,2458.299,说话人已经有爱人了吗,D031,F,F05,D,minusHalfERB,congruent,atypical
1,151,F05_D076_minusHalfERB.wav,F05_D076_tar_minusHalfERB.wav,少将,FALSE,112,1926.825,说话人的爱人从没当过兵吗,D076,F,F05,D,minusHalfERB,congruent,atypical
1,88,F06_D008_minusHalfERB.wav,F06_D008_tar_minusHalfERB.wav,岳父,FALSE,112,3110,说话人今天要去见爱人的家长吗,D008,F,F06,D,minusHalfERB,congruent,atypical
1,64,F06_E069_minusHalfERB.wav,F06_E069_tar_minusHalfERB.wav,月嫂,TRUE,222,2458.05,说话人的对象在工作上很负责任吗,E069,F,F06,E,minusHalfERB,incongruent,atypical
1,5,F03_E006_plusHalfERB.wav,F03_E006_tar_plusHalfERB.wav,美女,TRUE,221,2167.347,说话人提及了自己的伴侣吗,E006,F,F03,E,plusHalfERB,incongruent,typical
1,22,F02_E023_plusHalfERB.wav,F02_E023_tar_plusHalfERB.wav,孙女,FALSE,221,2899.66,说话人的伴侣认为自己很孝顺吗,E023,F,F02,E,plusHalfERB,incongruent,typical
1,79,F05_E084_minusHalfERB.wav,F05_E084_tar_minusHalfERB.wav,宅女,FALSE,222,2120.136,说话人的对象很爱出去玩吗,E084,F,F05,E,minusHalfERB,incongruent,atypical
1,32,F06_E034_minusHalfERB.wav,F06_E034_tar_minusHalfERB.wav,女人,TRUE,222,2329.274,说话人认为自己的爱人伟大吗,E034,F,F06,E,minusHalfERB,incongruent,atypical
1,6,F02_E007_plusHalfERB.wav,F02_E007_tar_plusHalfERB.wav,怀孕,TRUE,221,2493.265,说话人期待有自己的孩子吗,E007,F,F02,E,plusHalfERB,incongruent,typical
1,7,F05_E008_minusHalfERB.wav,F05_E008_tar_minusHalfERB.wav,产妇,FALSE,222,2840.952,说话人提到了老师吗,E008,F,F05,E,minusHalfERB,incongruent,atypical
1,63,F05_E068_minusHalfERB.wav,F05_E068_tar_minusHalfERB.wav,女巫,TRUE,222,2179.138,说话人的爱人是演员吗,E068,F,F05,E,minusHalfERB,incongruent,atypical
1,14,F02_E015_plusHalfERB.wav,F02_E015_tar_plusHalfERB.wav,公公,FALSE,221,2973.084,说话人昨天没有出门吗,E015,F,F02,E,plusHalfERB,incongruent,typical
1,80,F06_E085_minusHalfERB.wav,F06_E085_tar_minusHalfERB.wav,女主,TRUE,222,2318.073,说话人的爱人演过戏吗,E085,F,F06,E,minusHalfERB,incongruent,atypical
1,171,F05_F033_minusHalfERB.wav,F05_F033_tar_minusHalfERB.wav,眼镜,FALSE,101,2094.49,说话人很久没换过眼镜了吗,F033,F,F05,F,minusHalfERB,filler,filler
