Section,ID,Prime,Target,Target_Word,CorrectA,Code,Dur,Question,SentenceID,SpeakerGender,SpeakerID,SentenceGroup,PitchLevel,ContentCongruency,PitchTypicality
1,101,M01_D021_plusHalfERB.wav,M01_D021_tar_plusHalfERB.wav,绅士,TRUE,122,2407.256,说话人在幻想自己未来的伴侣吗,D021,M,M01,D,plusHalfERB,incongruent,atypical
1,102,M05_D022_minusHalfERB.wav,M05_D022_tar_minusHalfERB.wav,糙汉,TRUE,121,2179.751,说话人总是吐槽自己的对象吗,D022,M,M05,D,minusHalfERB,incongruent,typical
1,134,M05_D057_minusHalfERB.wav,M05_D057_tar_minusHalfERB.wav,光棍,FALSE,121,2444.875,说话人的对象之前谈过很多次恋爱吗,D057,M,M05,D,minusHalfERB,incongruent,typical
1,143,M03_D067_minusHalfERB.wav,M03_D067_tar_minusHalfERB.wav,太子,TRUE,121,3300.544,说话人的对象相信自己在古代的身份会很尊贵吗,D067,M,M03,D,minusHalfERB,incongruent,typical
1,109,M01_D029_plusHalfERB.wav,M01_D029_tar_plusHalfERB.wav,男人,FALSE,122,2445.873,说话人的对象没有上进心吗,D029,M,M01,D,plusHalfERB,incongruent,atypical
1,142,M05_D066_minusHalfERB.wav,M05_D066_tar_minusHalfERB.wav,孝子,TRUE,121,1862.857,说话人的对象很孝顺吗,D066,M,M05,D,minusHalfERB,incongruent,typical
1,144,M02_D069_plusHalfERB.wav,M02_D069_tar_plusHalfERB.wav,皇帝,TRUE,122,2288.526,说话人的爱人说自己做梦了吗,D069,M,M02,D,plusHalfERB,incongruent,atypical
1,136,M02_D060_plusHalfERB.wav,M02_D060_tar_plusHalfERB.wav,好汉,TRUE,122,2512.698,说话人的朋友对其对象的印象很好吗,D060,M,M02,D,plusHalfERB,incongruent,atypical
1,87,M03_D007_minusHalfERB.wav,M03_D007_tar_minusHalfERB.wav,爸爸,TRUE,121,3420.68,说话人认为其对象会是个好爸爸吗,D007,M,M03,D,minusHalfERB,incongruent,typical
1,103,M03_D023_minusHalfERB.wav,M03_D023_tar_minusHalfERB.wav,硬汉,TRUE,121,2446.349,说话人有自己的理想型吗,D023,M,M03,D,minusHalfERB,incongruent,typical
1,48,M05_E051_minusHalfERB.wav,M05_E051_tar_minusHalfERB.wav,萌妹,TRUE,211,2126.122,说话人有恋人吗,E051,M,M05,E,minusHalfERB,congruent,typical
1,23,M03_E024_minusHalfERB.wav,M03_E024_tar_minusHalfERB.wav,班花,TRUE,211,2648.957,说话人和自己的对象同班过吗,E024,M,M03,E,minusHalfERB,congruent,typical
1,61,M01_E066_plusHalfERB.wav,M01_E066_tar_plusHalfERB.wav,丫鬟,FALSE,212,2725.782,说话人在谈论自己的梦吗,E066,M,M01,E,plusHalfERB,congruent,atypical
1,71,M03_E076_minusHalfERB.wav,M03_E076_tar_minusHalfERB.wav,皇后,FALSE,211,3367.438,说话人在谈论自己的晚饭吗,E076,M,M03,E,minusHalfERB,congruent,typical
1,16,M05_E017_minusHalfERB.wav,M05_E017_tar_minusHalfERB.wav,长女,FALSE,211,1681.905,说话人的伴侣是独生子吗,E017,M,M05,E,minusHalfERB,congruent,typical
1,32,M05_E034_minusHalfERB.wav,M05_E034_tar_minusHalfERB.wav,女人,TRUE,211,2035.669,说话人认为自己的爱人伟大吗,E034,M,M05,E,minusHalfERB,congruent,typical
1,77,M02_E082_plusHalfERB.wav,M02_E082_tar_plusHalfERB.wav,千金,FALSE,212,1966.213,说话人的恋人家庭条件很差吗,E082,M,M02,E,plusHalfERB,congruent,atypical
1,46,M02_E049_plusHalfERB.wav,M02_E049_tar_plusHalfERB.wav,萝莉,TRUE,212,2151.043,说话人在描述自己未来的爱人吗,E049,M,M02,E,plusHalfERB,congruent,atypical
1,13,M01_E014_plusHalfERB.wav,M01_E014_tar_plusHalfERB.wav,婆婆,FALSE,212,2265.918,说话人提及了自己喜欢的人吗,E014,M,M01,E,plusHalfERB,congruent,atypical
1,62,M02_E067_plusHalfERB.wav,M02_E067_tar_plusHalfERB.wav,女工,FALSE,212,1674.195,说话人的爱人以前在服装店上班吗,E067,M,M02,E,plusHalfERB,congruent,atypical
1,178,M02_F056_plusHalfERB.wav,M02_F056_tar_plusHalfERB.wav,本子,TRUE,101,2261.497,说话人曾经给自己的爷爷送过本子吗,F056,M,M02,F,plusHalfERB,filler,filler
1,179,M03_F068_minusHalfERB.wav,M03_F068_tar_minusHalfERB.wav,时差,FALSE,101,2711.224,说话人和自己的朋友生活在同一时区吗,F068,M,M03,F,minusHalfERB,filler,filler
1,176,M05_F049_minusHalfERB.wav,M05_F049_tar_minusHalfERB.wav,罐头,TRUE,101,2533.039,说话人的爱人去过超市吗,F049,M,M05,F,minusHalfERB,filler,filler
1,183,M03_G095_minusHalfERB.wav,M03_G095_tar_minusHalfERB.wav,记者,FALSE,102,2098.571,说话人提到了自己最喜欢的花吗,G095,M,M03,G,minusHalfERB,filler,filler
1,189,M01_G107_plusHalfERB.wav,M01_G107_tar_plusHalfERB.wav,会计,TRUE,102,2494.399,说话人昨天摔坏了什么吗,G107,M,M01,G,plusHalfERB,filler,filler
2,120,M05_D041_minusHalfERB.wav,M05_D041_tar_minusHalfERB.wav,男德,TRUE,121,2398.299,说话人对其伴侣提出了道德要求吗,D041,M,M05,D,minusHalfERB,incongruent,typical
2,135,M03_D059_minusHalfERB.wav,M03_D059_tar_minusHalfERB.wav,男丁,TRUE,121,2687.415,说话人提及了其恋人的家庭状况吗,D059,M,M03,D,minusHalfERB,incongruent,typical
