Section,ID,Prime,Target,Target_Word,CorrrectA,Code,Dur,Question,SentenceID,SpeakerGender,SpeakerID,SentenceGroup,PitchLevel,ContentCongruency,PitchTypicality
1,148,M05_D073_plusHalfERB.wav,M05_D073_tar_plusHalfERB.wav,兄长,FALSE,122,2341.497,说话人的恋人在家里很粗心吗,D073,M,M05,D,plusHalfERB,incongruent,atypical
1,91,M03_D011_plusHalfERB.wav,M03_D011_tar_plusHalfERB.wav,长子,FALSE,122,2177.732,说话人的恋人是家中最小的吗,D011,M,M03,D,plusHalfERB,incongruent,atypical
1,115,M03_D035_plusHalfERB.wav,M03_D035_tar_plusHalfERB.wav,前夫,FALSE,122,2159.116,说话人在路上结识了陌生人吗,D035,M,M03,D,plusHalfERB,incongruent,atypical
1,106,M02_D026_minusHalfERB.wav,M02_D026_tar_minusHalfERB.wav,和尚,TRUE,121,2239.252,说话人的对象曾打算出家吗,D026,M,M02,D,minusHalfERB,incongruent,typical
1,121,M02_D042_minusHalfERB.wav,M02_D042_tar_minusHalfERB.wav,公子,TRUE,121,2236.145,说话人的爱人出身于大户人家吗,D042,M,M02,D,minusHalfERB,incongruent,typical
1,129,M01_D052_minusHalfERB.wav,M01_D052_tar_minusHalfERB.wav,少年,FALSE,121,2908.98,说话人提到了自己的老板吗,D052,M,M01,D,minusHalfERB,incongruent,typical
1,114,M05_D034_plusHalfERB.wav,M05_D034_tar_plusHalfERB.wav,胡子,TRUE,122,2182.29,说话人讨厌自己的对象的胡子吗,D034,M,M05,D,plusHalfERB,incongruent,atypical
1,89,M01_D009_minusHalfERB.wav,M01_D009_tar_minusHalfERB.wav,岳母,TRUE,121,2821.497,说话人在家中有害怕的人吗,D009,M,M01,D,minusHalfERB,incongruent,typical
1,92,M05_D012_plusHalfERB.wav,M05_D012_tar_plusHalfERB.wav,哥哥,FALSE,122,2105.669,说话人的伴侣没有弟弟妹妹吗,D012,M,M05,D,plusHalfERB,incongruent,atypical
1,122,M01_D043_minusHalfERB.wav,M01_D043_tar_minusHalfERB.wav,正太,FALSE,121,2463.424,说话人的爱人小时候不可爱吗,D043,M,M01,D,minusHalfERB,incongruent,typical
1,10,M02_E011_minusHalfERB.wav,M02_E011_tar_minusHalfERB.wav,流产,TRUE,211,1729.365,说话人去年差点失去自己的孩子吗,E011,M,M02,E,minusHalfERB,congruent,typical
1,26,M02_E027_minusHalfERB.wav,M02_E027_tar_minusHalfERB.wav,淑女,TRUE,211,1703.9,说话人在夸奖自己的恋人吗,E027,M,M02,E,minusHalfERB,congruent,typical
1,27,M03_E028_plusHalfERB.wav,M03_E028_tar_plusHalfERB.wav,靓女,FALSE,212,2536.168,说话人从不夸奖自己的对象吗,E028,M,M03,E,plusHalfERB,congruent,atypical
1,4,M05_E005_plusHalfERB.wav,M05_E005_tar_plusHalfERB.wav,太太,FALSE,212,2190.635,说话人去年去了美国吗,E005,M,M05,E,plusHalfERB,congruent,atypical
1,58,M01_E062_minusHalfERB.wav,M01_E062_tar_minusHalfERB.wav,渣女,FALSE,211,2282.971,说话人没有谈过恋爱吗,E062,M,M01,E,minusHalfERB,congruent,typical
1,43,M03_E045_plusHalfERB.wav,M03_E045_tar_plusHalfERB.wav,贵妇,TRUE,212,2457.46,说话人在谈论自己爱人的愿望吗,E045,M,M03,E,plusHalfERB,congruent,atypical
1,1,M01_E001_minusHalfERB.wav,M01_E001_tar_minusHalfERB.wav,老婆,FALSE,211,1690.522,说话人在谈论自己的爸爸吗,E001,M,M01,E,minusHalfERB,congruent,typical
1,12,M05_E013_plusHalfERB.wav,M05_E013_tar_plusHalfERB.wav,妈妈,FALSE,212,2009.229,说话人已经结婚生子了吗,E013,M,M05,E,plusHalfERB,congruent,atypical
1,18,M01_E019_minusHalfERB.wav,M01_E019_tar_minusHalfERB.wav,妹妹,FALSE,211,2287.12,说话人的爱人在家里很任性吗,E019,M,M01,E,minusHalfERB,congruent,typical
1,33,M03_E035_plusHalfERB.wav,M03_E035_tar_plusHalfERB.wav,女性,FALSE,212,2508.277,说话人对其恋人的评价很低吗,E035,M,M03,E,plusHalfERB,congruent,atypical
1,191,M01_F110_minusHalfERB.wav,M01_F110_tar_minusHalfERB.wav,经理,FALSE,101,2373.628,说话人的朋友明年要被辞退了吗,F110,M,M01,F,minusHalfERB,filler,filler
1,200,M02_F167_minusHalfERB.wav,M02_F167_tar_minusHalfERB.wav,主播,TRUE,101,1717.8,说话人提及了自己爱人曾经的职业吗,F167,M,M02,F,minusHalfERB,filler,filler
1,192,M02_F115_minusHalfERB.wav,M02_F115_tar_minusHalfERB.wav,小孩,FALSE,101,1814.376,说话人没有出过国吗,F115,M,M02,F,minusHalfERB,filler,filler
1,210,M05_G032_plusHalfERB.wav,M05_G032_tar_plusHalfERB.wav,公司,TRUE,102,2620.159,说话人的老板今天上班了吗,G032,M,M05,G,plusHalfERB,filler,filler
1,201,M03_G008_plusHalfERB.wav,M03_G008_tar_plusHalfERB.wav,题目,TRUE,102,2878.027,说话人提及了自己的愿望吗,G008,M,M03,G,plusHalfERB,filler,filler
2,116,M02_D036_minusHalfERB.wav,M02_D036_tar_minusHalfERB.wav,皇子,TRUE,121,2411.247,说话人的爱人出演了一部剧吗,D036,M,M02,D,minusHalfERB,incongruent,typical
2,100,M05_D020_plusHalfERB.wav,M05_D020_tar_plusHalfERB.wav,男神,FALSE,122,2124.989,说话人的对象没什么魅力吗,D020,M,M05,D,plusHalfERB,incongruent,atypical
2,81,M02_D001_minusHalfERB.wav,M02_D001_tar_minusHalfERB.wav,老公,FALSE,121,1985.941,说话人下班后要去找自己的母亲吗,D001,M,M02,D,minusHalfERB,incongruent,typical
2,99,M03_D019_plusHalfERB.wav,M03_D019_tar_plusHalfERB.wav,校草,FALSE,122,2515.034,说话人的爱人相貌平平吗,D019,M,M03,D,plusHalfERB,incongruent,atypical
2,123,M03_D044_plusHalfERB.wav,M03_D044_tar_plusHalfERB.wav,喉结,TRUE,122,2986.19,说话人觉得其对象有特别吸引自己的地方吗,D044,M,M03,D,plusHalfERB,incongruent,atypical
2,155,M05_D080_plusHalfERB.wav,M05_D080_tar_plusHalfERB.wav,舅舅,TRUE,122,2319.274,说话人的对象有小外甥了吗,D080,M,M05,D,plusHalfERB,incongruent,atypical
2,153,M01_D078_minusHalfERB.wav,M01_D078_tar_minusHalfERB.wav,侄子,TRUE,121,2656.327,说话人提到了其爱人的亲戚吗,D078,M,M01,D,minusHalfERB,incongruent,typical
2,84,M02_D004_minusHalfERB.wav,M02_D004_tar_minusHalfERB.wav,先生,FALSE,121,2421.746,说话人向其学生介绍了自己的对象吗,D004,M,M02,D,minusHalfERB,incongruent,typical
2,113,M01_D033_minusHalfERB.wav,M01_D033_tar_minusHalfERB.wav,小伙,FALSE,121,2704.626,说话人的朋友都认为其对象很冷漠吗,D033,M,M01,D,minusHalfERB,incongruent,typical
2,98,M01_D018_minusHalfERB.wav,M01_D018_tar_minusHalfERB.wav,班草,FALSE,121,2225.556,说话人的对象高中时长相普通吗,D018,M,M01,D,minusHalfERB,incongruent,typical
2,11,M03_E012_plusHalfERB.wav,M03_E012_tar_plusHalfERB.wav,母亲,FALSE,212,2748.98,说话人还没有孩子吗,E012,M,M03,E,plusHalfERB,congruent,atypical
2,20,M05_E021_plusHalfERB.wav,M05_E021_tar_plusHalfERB.wav,学妹,TRUE,212,1896.122,说话人和自己的恋人是同一个高中吗,E021,M,M05,E,plusHalfERB,congruent,atypical
2,73,M01_E078_minusHalfERB.wav,M01_E078_tar_minusHalfERB.wav,师姐,TRUE,211,1958.685,说话人爱上了比自己年长的人吗,E078,M,M01,E,minusHalfERB,congruent,typical
2,52,M05_E055_plusHalfERB.wav,M05_E055_tar_plusHalfERB.wav,儿媳,FALSE,212,2483.424,说话人的母亲不满意这个儿媳吗,E055,M,M05,E,plusHalfERB,congruent,atypical
2,50,M02_E053_minusHalfERB.wav,M02_E053_tar_minusHalfERB.wav,仙女,TRUE,211,1804.921,说话人的朋友夸奖过其恋人吗,E053,M,M02,E,minusHalfERB,congruent,typical
2,17,M01_E018_minusHalfERB.wav,M01_E018_tar_minusHalfERB.wav,姐姐,TRUE,211,1867.891,说话人比其恋人年纪小吗,E018,M,M01,E,minusHalfERB,congruent,typical
2,42,M05_E044_plusHalfERB.wav,M05_E044_tar_plusHalfERB.wav,公主,TRUE,212,2411.134,说话人的对象在幻想自己古代的身份吗,E044,M,M05,E,plusHalfERB,congruent,atypical
2,49,M01_E052_minusHalfERB.wav,M01_E052_tar_minusHalfERB.wav,空姐,TRUE,211,2624.649,说话人想和空姐结婚吗,E052,M,M01,E,minusHalfERB,congruent,typical
2,28,M05_E029_plusHalfERB.wav,M05_E029_tar_plusHalfERB.wav,腐女,FALSE,212,2048.662,说话人在谈论自己的爱好吗,E029,M,M05,E,plusHalfERB,congruent,atypical
2,35,M01_E037_minusHalfERB.wav,M01_E037_tar_minusHalfERB.wav,女士,FALSE,211,2579.864,说话人提及了自己的朋友吗,E037,M,M01,E,minusHalfERB,congruent,typical
