,index,trial,prime,target,question,answer,response
0,11,12,F02_D006_plusHalfERB.wav,F02_D006_tar_plusHalfERB.wav,说话人的对象期待有自己的孩子吗,True,
1,16,17,F02_D009_minusHalfERB.wav,F02_D009_tar_minusHalfERB.wav,说话人在家中有怕的人吗,True,
2,12,13,F02_D007_minusHalfERB.wav,F02_D007_tar_minusHalfERB.wav,说话人认为ta对象会成为一位好家长吗,True,
3,4,5,F02_D003_minusHalfERB.wav,F02_D003_tar_minusHalfERB.wav,说话人在谈论自己的穿着吗,False,NO
4,3,4,F02_D002_plusHalfERB.wav,F02_D002_tar_plusHalfERB.wav,说话人还没有对象吗,False,NO
5,0,1,F02_D001_minusHalfERB.wav,F02_D001_tar_minusHalfERB.wav,说话人准备去公园吗,False,YES
6,17,18,F02_D009_plusHalfERB.wav,F02_D009_tar_plusHalfERB.wav,说话人在家中有怕的人吗,True,YES
7,15,16,F02_D008_plusHalfERB.wav,F02_D008_tar_plusHalfERB.wav,说话人这周要去见爱人的家长吗,False,
8,14,15,F02_D008_minusHalfERB.wav,F02_D008_tar_minusHalfERB.wav,说话人这周要去见爱人的家长吗,False,
9,5,6,F02_D003_plusHalfERB.wav,F02_D003_tar_plusHalfERB.wav,说话人在谈论自己的穿着吗,False,
10,2,3,F02_D002_minusHalfERB.wav,F02_D002_tar_minusHalfERB.wav,说话人还没有对象吗,False,NO
11,18,19,F02_D010_minusHalfERB.wav,F02_D010_tar_minusHalfERB.wav,说话人的前任是个不孝顺的人吗,True,
12,7,8,F02_D004_plusHalfERB.wav,F02_D004_tar_plusHalfERB.wav,说话人提到了自己的同事吗,False,YES
13,19,20,F02_D010_plusHalfERB.wav,F02_D010_tar_plusHalfERB.wav,说话人的前任是个不孝顺的人吗,True,YES
14,9,10,F02_D005_plusHalfERB.wav,F02_D005_tar_plusHalfERB.wav,说话人之前有过对象吗,True,NO
15,10,11,F02_D006_minusHalfERB.wav,F02_D006_tar_minusHalfERB.wav,说话人的对象期待有自己的孩子吗,True,
16,1,2,F02_D001_plusHalfERB.wav,F02_D001_tar_plusHalfERB.wav,说话人准备去公园吗,False,
17,8,9,F02_D005_minusHalfERB.wav,F02_D005_tar_minusHalfERB.wav,说话人之前有过对象吗,True,YES
18,6,7,F02_D004_minusHalfERB.wav,F02_D004_tar_minusHalfERB.wav,说话人提到了自己的同事吗,False,
19,13,14,F02_D007_plusHalfERB.wav,F02_D007_tar_plusHalfERB.wav,说话人认为ta对象会成为一位好家长吗,True,YES
